pid,name,tf_pid,tf_name,fifa_pid,fifa_name
261127,Adnan  Januzaj,177847,Adnan Januzaj,208330,Adnan Januzaj
125848,Adolfo Abdiel  Machado,-1,,197154,Adolfo Machado
8889,Adrian  Mariappa,38145,Adrian Mariappa,172953,Adrian Mariappa
84017,Adrian  Popa,73269,Javier Matilla,212046,Adrian Popa
21655,Adrian Marius  Stoian,96853,Adrian Stoian,192072,Adrian Stoian
28230,Adrien   Tameze,182722,Bruno Varela,213242,Adrien Tamèze
422514,Adrien  Bongiovanni,338628,Adrien Bongiovanni,235842,Andrea Pinamonti
229124,Adrien  Hunou,203507,Adrien Hunou,215245,Adrien Hunou
209117,Adrien  Rabiot,182913,Adrien Rabiot,210008,Adrien Rabiot
209028,Adrien  Thomasson,215977,Adrien Thomasson,208787,Adrien Thomasson
70403,Adrien Sebastian  Perruchet Silva,56810,Adrien Silva,184826,Adrien S. Perruchet Silva
3705,Adrián   González Morales,44073,Adrian Gonzalez,178616,Adrián González Morales
364870,Adrián  Diéguez Grande,355335,Adrian Dieguez,236508,Adrián Diéguez Grande
405969,Adrián  López Garrote,412042,Adri Lopez,241013,Adrián López Garrote
3451,Adrián  López Álvarez,45383,Adrian Lopez,173818,Adrián López Alvarez
286994,Adrián  Marín Gómez,295414,Adrian Marin,224921,Adrián Marín Gómez
3582,Adrián  San Miguel del Castillo,-1,,194911,Adrián San Miguel Castillo
207061,Adrián Luciano  Santos Sahibeddine,581780,Adrian Sahibeddine,-1,
213387,Adrián Ricardo  Centurión,230058,Ricardo Centurion,211267,Ricardo Centurión
222761,Afonso  Mendes Ribeiro Figueiredo,237000,Afonso Figueiredo,223293,Afonso Rebeiro Figueiredo
20812,Afriyie  Acquah,145581,Afriyie Acquah,201223,Afriyie Acquah
167117,Ager  Aketxe Barrutia,158057,Ager Aketxe,213937,Ager Aketxe Barrutia
293128,Ahmed   Khalil,-1,,-1,
10113,Ahmed  Benali,121402,Ahmad Benali,203782,Ahmad Benali
119951,Ahmed  Hegazy,111524,Ahmed Hegazy,210648,Ahmed Hegazi
101606,Ahmed  Musa,168337,Ahmed Musa,201818,Ahmed Musa
8525,Ahmed Eissa   El Mohamady Abdel Fattah,-1,,-1,
120156,Ahmed Fathy Abdel Meneim  Ibrahim,-1,,-1,
285583,Ahmed Reda  Tagnaouti,-1,,-1,
134557,Ahmet Yilmaz  Çalık,182395,Ahmet Calik,223046,Ahmet Çalık
101666,Aiden  McGeady,21333,Aiden Mcgeady,-1,
447043,Aiden  O'Neill,385918,Aiden Oneill,230888,Aiden O'Neill
284580,Ailton  Ferreira Silva,283863,Ailton,220658,Ailton Ferreira Silva
279717,Ainsley  Maitland-Niles,285845,Ainsley Maitland Niles,225782,Ainsley Maitland-Niles
357992,Aitor  Ruibal García,378139,Aitor Ruibal,241867,Aitor Ruibal García
101590,Alan  Dzagoev,69683,Alan Dzagoev,187735,Alan Dzagoev
62300,Alan  Mannus,62855,Alan Mannus,110606,Alan Mannus
25410,Alassane  Pléa,167329,Alassane Plea,206467,Alassane Pléa
64698,Alban  Hoxha,-1,,-1,
404213,Alban  Lafont,357117,Alban Lafont,231691,Alban Lafont
20540,Albano Benjamín  Bizzarri,7797,Albano Bizzarri,14907,Albano Bizzarri
216568,Albert  Gudmundsson,305947,Albert Gudmundsson,238004,Albert Guðmundsson
3779,Alberto   Bueno Calvo,45335,Alberto Bueno,178087,Alberto Bueno Calvo
20401,Alberto  Aquilani,5957,Alberto Aquilani,103935,Alberto Aquilani
21415,Alberto  Brignoli,146799,Alberto Brignoli,210358,Alberto Brignoli
3667,Alberto  De La Bella Madureño,73319,Alberto De La Bella,172013,Alberto de la Bella Madueño
134435,Alberto  Grassi,197473,Alberto Grassi,220475,Alberto Grassi
470756,Alberto  López Jiménez,307805,Alberto Lopez,235255,Alberto López Jiménez
4908,Alberto  Moreno Pérez,207917,Alberto Moreno,205566,Alberto Moreno Pérez
20661,Alberto  Paloschi,68306,Alberto Paloschi,186961,Alberto Paloschi
406460,Alberto  Redondo Guijarro,411177,Alberto Redondo,238446,Alberto Rodríguez Baró
70144,Alberto Junior  Rodríguez Valdelomar,30543,Alberto Rodriguez,168580,Alberto Rodríguez
20876,Albin  Ekdal,49275,Albin Ekdal,181318,Albin Ekdal
471252,Aldo  Caiazza,392333,Aldo Caiazza,-1,
247150,Aldo  One Esteve,-1,,-1,
114803,Aldo Sebastián  Corzo Chávez,-1,,196688,Aldo Corzo
20434,Aleandro  Rosi,34239,Aleandro Rosi,178117,Aleandro Rosi
344743,Alec  Georgen,324800,Alec Georgen,229194,Alec Georgen
282448,Aleix  García Serrano,261504,Aleix Garcia,228813,Aleix García Serrano
4256,Aleix  Vidal Parreu,88490,Aleix Vidal,202493,Aleix Vidal Parreu
4329,Alejandro  Arribas Garrido,137174,Alejandro Arribas,197890,Alejandro Arribas Garrido
339791,Alejandro  Berenguer Remiro,338425,Alex Berenguer,225201,Alejandro Berenguer Remiro
471984,Alejandro  Dos Santos Ferreira,396341,Alex Dos Santos,-1,
214062,Alejandro  Granell Nogué,255284,Alex Granell,223682,Àlex Granell Nogué
3970,Alejandro  Gálvez Jimena,128488,Alejandro Galvez,199487,Alejandro Gálvez Jimena
396513,Alejandro  Pozo Pozo,341272,Alejandro Pozo,235983,Alejandro Pozo Pozo
405972,Alejandro  Robles García,341230,Alex Robles,-1,
116160,Alejandro Damián  González Hernández,100497,Alejandro Gonzalez,178616,Adrián González Morales
21077,Alejandro Darío  Gómez,20005,Papu Gomez,143076,Alejandro Gómez
488750,Alejandro Gutiérrez  Mozo,190188,Vitaliy Gudiev,224894,Alejandro Gutiérrez Mozo
485383,Alejandro Miguel  Mula Sanchez,-1,,220395,Alejandro Mula Sánchez
49859,Aleksandar  Dragović,59032,Aleksandar Dragovic,189060,Aleksandar Dragović
14695,Aleksandar  Ignjovski,74295,Aleksandar Ignjovski,193211,Aleksandar Ignjovski
127719,Aleksandar  Katai,139915,Aleksandar Katai,204874,Aleksandar Katai
8306,Aleksandar  Kolarov,46156,Aleksandar Kolarov,185103,Aleksandar Kolarov
128214,Aleksandar  Mitrović,51152,Aleksandar Mitrović,215716,Aleksandar Mitrović
50411,Aleksandar  Prijović,61505,Aleksandar Prijovic,189757,Aleksandar Prijović
99423,Aleksandar  Tonev,134369,Andrea Tabanelli,204166,Aleksandar Tonev
101953,Aleksandr  Erokhin,84483,Aleksandr Erokhin,203629,Alexandr Erokhin
257800,Aleksandr  Golovin,263918,Aleksandr Golovin,225663,Alexandr Golovin
101705,Aleksandr  Kokorin,89086,Aleksandr Kokorin,192086,Alexandr Kokorin
262048,Aleksey  Miranchuk,255450,Aleksey Miranchuk,214092,Alexey Miranchuk
234527,Alen  Halilović,226074,Alen Halilovic,216349,Alen Halilović
22566,Alessandro   Florenzi,130365,Alessandro Florenzi,203551,Alessandro Florenzi
405597,Alessandro  Bastoni,315853,Alessandro Bastoni,237383,Alessandro Bastoni
270034,Alessandro  Bellemo,241052,Alessandro Bellemo,220933,Alessandro Bellemo
491451,Alessandro  Buongiorno,386446,Alessandro Buongiorno,239570,Alessandro Bordin
417230,Alessandro  Confente,393797,Alessandro Confente,235835,Alessandro Confente
263591,Alessandro  Deiola,235931,Alessandro Deiola,229743,Alessandro Deiola
416011,Alessandro  Fiordaliso,386447,Alessandro Fiordaliso,239570,Alessandro Bordin
20929,Alessandro  Gamberini,16868,Alessandro Gamberini,5213,Alessandro Gamberini
478229,Alessandro  Guarnone,392530,Alessandro Guarnone,240276,Alessandro Guarnone
20478,Alessandro  Matri,40660,Alessandro Matri,177528,Alessandro Matri
346908,Alessandro  Murgia,289061,Alessandro Murgia,231919,Alessandro Murgia
208716,Alessandro  Schöpf,118397,Alessandro Schopf,220925,Alessandro Schöpf
20947,Alessio  Cerci,21748,Alessio Cerci,178393,Alessio Cerci
134413,Alessio  Cragno,12907,Alessio Cragno,205659,Alessio Cragno
485463,Alessio  Donnarumma,315845,Alessio Donnarumma,230621,Gianluigi Donnarumma
423597,Alessio  Miceli,394296,Alessio Miceli,240519,Alessio Militari
529551,Alessio  Riccardi,421765,Alessio Riccardi,236378,Alessandro Plizzari
146588,Alessio  Romagnoli,197747,Alessio Romagnoli,210413,Alessio Romagnoli
8290,Alex   Pritchard,200777,Alex Pritchard,205351,Alex Pritchard
21494,Alex  Cordaz,16633,Alex Cordaz,149258,Alex Cordaz
263433,Alex  Ferrari,197491,Alex Ferrari,219852,Alex Ferrari
230020,Alex  Iwobi,242631,Alex Iwobi,213655,Alex Iwobi
8580,Alex  McCarthy,95976,Alex Mccarthy,189324,Alex McCarthy
286215,Alex  Meret,240414,Alex Meret,225116,Alex Meret
7868,Alex  Oxlade-Chamberlain,143424,Alex Oxlade Chamberlain,198784,Alex Oxlade-Chamberlain
381290,Alex  Palmer,245625,Alex Palmer,223909,Alex Palmer
167241,Alex Raúl  Rodríguez Ledezma,-1,,-1,
70084,Alex Sandro  Lobo Silva,79960,Alex Sandro,191043,Alex Sandro Lobo Silva
54819,Alexander   Toft Søderlund,87479,Alexander Soderlund,201966,Alexander Søderlund
6914,Alexander  Alegría Moreno,105496,Jano Ananidze,220355,Alexander Alegría Moreno
229427,Alexander  Djiku,250844,Alexander Djiku,212219,Alexander Djiku
15141,Alexander  Esswein,45662,Alexander Esswein,189272,Alexander Esswein
221172,Alexander  Hack,126281,Alexander Hack,231111,Alexander Hack
399599,Alexander  Isak,349066,Alexander Isak,233731,Alexander Isak
8899,Alexander  Kačaniklić,51040,Alexander Kacaniklic,198394,Alexander Kačaniklić
540613,Alexander  Kert Molberg,467235,Alexander Molberg,-1,
15254,Alexander  Meier,1565,Alexander Meier,121170,Alexander Meier
293857,Alexander  Mesa Travieso,-1,,221452,Alexander Mesa Travieso
19004,Alexander  Meyer,76158,Alexander Meyer,241050,Alexander Meyer
333477,Alexander  Nübel,195778,Alexander Nubel,223885,Alexander Nübel
19525,Alexander  Schwolow,93763,Alexander Schwolow,202789,Alexander Schwolow
15512,Alexander  Stolz,10329,Alexander Stolz,183597,Alexander Stolz
4683,Alexander  Szymanowski,217728,Alexander Szymanowski,210333,Alexander Szymanowski
55224,Alexander  Sørloth,238407,Alexander Sorloth,216549,Alexander Sørloth
101699,Alexandr  Samedov,15076,Aleksandr Samedov,147621,Alexandr Samedov
25413,Alexandre  Lacazette,93720,Alexandre Lacazette,193301,Alexandre Lacazette
26245,Alexandre  Letellier,93730,Alexandre Letellier,199574,Alexandre Letellier
274970,Alexandre  Mendy,290561,Alexandre Mendy,223510,Alexandre Mendy
366573,Alexandre  Olliero,395602,Alexandre Olliero,231105,Alexandre Olliero
26676,Alexandre  Oukidja,56809,Alexandre Oukidja,176772,Alexandre Oukidja
347277,Alexandros  Katranis,324341,Alexandros Katranis,240501,Alexandros Katranis
83972,Alexandru  Mățel,158795,David Timor,212048,Alexandru Chipciu
83836,Alexandru Iulian  Maxim,129513,Alexandru Maxim,211061,Alexandru Maxim
83590,Alexandru Mihăiță  Chipciu,64126,Alexandru Chipciu,212048,Alexandru Chipciu
101580,Alexei  Berezutski,15363,Aleksey Berezutski,148123,Alexey Berezutskiy
253333,Alexis  Blin,236041,Alexis Blin,222982,Alexis Blin
3466,Alexis  Ruano Delgado,7781,Alexis Ruano,135742,Alexis Ruano Delgado
3361,Alexis Alejandro  Sánchez Sánchez,40433,Alexis Sanchez,184941,Alexis Sánchez
246866,Alfie  Mawson,287431,Alfie Mawson,208534,Alfie Mawson
401050,Alfie  Whiteman,282823,Alfie Whiteman,236239,Alfie Whiteman
359847,Alfonso  Pedraza Sag,356197,Alfonso Pedraza,228302,Alfonso Pedraza Sag
21098,Alfred Benjamin  Gomis,163568,Alfred Gomis,201976,Alfred Gomis
32793,Alfred John Momar  N'Diaye,77737,Alfred Ndiaye,188879,Alfred N'Diaye
112813,Alfredo  Talavera Díaz,59180,Adessoye Oyewole,-1,
37948,Alfreð  Finnbogason,90024,Alfred Finnbogason,195586,Alfreð Finnbogason
398219,Ali  Al Bulayhi,-1,,229851,Ali Al Bulayhi
198120,Ali  Gabr,122980,Ali Gabr,-1,
120839,Ali  Maâloul,-1,,-1,
131184,Ali Adnan Kadhim  Al Tameemi,261611,Ali Adnan,223198,Ali Adnan
85113,Alin Dorinel  Toșca,148004,Alin Tosca,233512,Alin Toşca
79381,Alireza  Jahanbakhsh,213268,Alireza Jahanbakhsh,215871,Alireza Jahanbakhsh
238031,Alireza  Safar Beiranvand,229081,Alireza Beiranvand,-1,
214220,Alisson Ramsés  Becker,105470,Alisson,212831,Alisson Ramses Becker
40726,Allan  Marques Loureiro,-1,,199914,Allan Marques Loureiro
276211,Allan  Saint-Maximin,272642,Allan Saint Maximin,216388,Allan Saint-Maximin
5281,Allan-Romeo  Nyom,111508,Allan Nyom,192667,Allan Nyom
149101,Almamy  Touré,216181,Almamy Toure,227873,Almamy Touré
249926,Alois  Confais,292820,Alois Confais,228592,Alois Confais
25418,Alphonse  Aréola,120629,Alphonse Areola,193105,Alphonse Areola
376565,Aly  Abeid,393436,Aly Abeid,-1,
374013,Amadou  Diawara,355501,Amadou Diawara,230613,Amadou Diawara
344140,Amath  Diedhiou Ndiaye,339820,Amath Ndiaye,-1,
134484,Amato  Ciciretti,159902,Amato Ciciretti,206160,Amato Ciciretti
125076,Ambroise  Oyongo Bitolo,184922,Ambroise Oyongo,218540,Ambroise Oyongo
449985,Amine  Gouiri,418659,Amine Gouiri,240753,Amine Gouiri
372915,Amine  Harit,372711,Amine Harit,232097,Amine Harit
60144,Amir  Abedzadeh,218431,Amir Abedzadeh,237419,Amir Abedzadeh
49982,Amir  Abrashi,66005,Amir Abrashi,199282,Amir Abrashi
388928,Amr Medhat  Warda,237641,Amr Warda,233600,Amr Warda
4805,Anaitz  Arbilla Zabala,71548,Anaitz Arbilla,199986,Anaitz Arbilla Zabala
337799,Anas  Ouahim,240889,Anas Ouahim,241741,Anas Ouahim
233910,Anastasios  Donis,243606,Anastasios Donis,227732,Anastasios Donis
14729,Anatoliy  Tymoshchuk,14944,Anatoliy Tymoshchuk,-1,
6322,Ander  Cantero Armendáriz,199325,Ander Cantero,219637,Ander Cantero Armendariz
4094,Ander  Capa Rodríguez,197545,Ander Capa,216189,Ander Capa Rodríguez
477352,Ander  Guevara Lajo,465967,Ander Guevara,240458,Ander Guevara Lajo
3413,Ander  Herrera Agüera,99343,Ander Herrera,191740,Ander Herrera Agüera
3414,Ander  Iturraspe Derteano,71571,Ander Iturraspe,189574,Ander Iturraspe Derteano
7912,Anders  Lindegaard,22491,Anders Lindegaard,135043,Anders Lindegaard
115353,Anderson  Santamaría Bardales,-1,,236260,Anderson Santamaría
93339,Andi  Lila,47435,Andi Lila,-1,
279560,Andoni  Gorosabel Espinosa,289255,Andoni Gorosabel,241049,Andoni Gorosabel Espinosa
344065,Andoni  López Saratxo,340206,Andoni Lopez,-1,
424431,Andoni  Zubiaurre Dorronsoro,428948,Andoni Zubiaurre,-1,
10663,Andre  Gray,120565,Andre Gray,194138,Andre Gray
20815,Andrea  Barberis,146680,Andrea Barberis,219594,Andrea Barberis
20458,Andrea  Barzagli,7109,Andrea Barzagli,137186,Andrea Barzagli
21234,Andrea  Belotti,167727,Andrea Belotti,208596,Andrea Belotti
20749,Andrea  Bertolacci,99227,Andrea Bertolacci,192073,Andrea Bertolacci
422555,Andrea  Colpani,392959,Andrea Colpani,-1,
20832,Andrea  Consigli,35865,Andrea Consigli,163489,Andrea Consigli
134419,Andrea  Conti,111227,Andrea Conti,223329,Andrea Conti
20874,Andrea  Cossu,21861,Andrea Cossu,103496,Andrea Cossu
20609,Andrea  Costa,34336,Andrea Costa,178042,Andrea Costa
523089,Andrea  Danzi,319171,Andrea Danzi,-1,
531687,Andrea  Donadello,465276,Andrea Donadello,-1,
347019,Andrea  Marcucci,319180,Andrea Marcucci,-1,
20841,Andrea  Masiello,-1,,169115,Andrea Masiello
272878,Andrea  Nalini,278578,Andrea Nalini,229460,Andrea Nalini
246175,Andrea  Petagna,199258,Andrea Petagna,215689,Andrea Petagna
405608,Andrea  Pinamonti,315865,Andrea Pinamonti,235842,Andrea Pinamonti
20529,Andrea  Poli,44834,Andrea Poli,185174,Andrea Poli
20677,Andrea  Raggi,28845,Andrea Raggi,163407,Andrea Raggi
20519,Andrea  Ranocchia,44327,Andrea Ranocchia,182168,Andrea Ranocchia
397237,Andrea  Romagnoli,391406,Andrea Romagnoli,-1,
21840,Andrea  Seculin,85380,Andrea Seculin,197689,Andrea Seculin
492463,Andrea  Tessiore,393605,Andrea Tessiore,-1,
218982,Andrea  Tozzo,57657,Andrea Tozzo,204437,Andrea Tozzo
15798,Andreas  Beck,31182,Andreas Beck,176687,Andreas Beck
135103,Andreas  Christensen,196948,Andreas Christensen,213661,Andreas Christensen
21275,Andreas  Granqvist,29213,Andreas Granqvist,156713,Andreas Granqvist
240445,Andreas  Hoelgebaum Pereira,203394,Andreas Pereira,208450,Andreas Hugo Hoelgebaum Pereira
97,Andreas  Isaksson,6590,Andreas Isaksson,20551,Andreas Isaksson
14822,Andreas  Luthe,41323,Andreas Luthe,192665,Andreas Luthe
135150,Andreas Evald  Cornelius,203412,Andreas Cornelius,201943,Andreas Cornelius
412914,Andreaw Rayan  Gravillon,395083,Andreaw Gravillon,239550,Andrew Gravillon
43515,Andrei  Girotto,270051,Andrei Girotto,226515,Andrei Girotto
83591,Andrei  Prepeliță,37933,Andrei Prepelita,-1,
69411,Andrej  Kramarić,46580,Andrej Kramaric,216354,Andrej Kramarić
3337,Andreu  Fontàs Prat,65237,Andreu Fontas,192476,Andreu Fontàs Prat
238055,Andrew   Nabbout,-1,,212075,Andrew Nabbout
135113,Andrew  Hjulsager,167798,Andrew Hjulsager,217845,Andrew Hjulsager
222220,Andrew  Robertson,234803,Andrew Robertson,216267,Andrew Robertson
8351,Andrew  Surman,29975,Andrew Surman,172768,Andrew Surman
22020,Andrey  Galabinov,-1,,203327,Andrey Galabinov
101971,Andrey  Lunev,112541,Andrey Lunev,229909,Andrey Lunev
102629,Andrey  Semenov,105478,Andrey Semenov,211592,Andrey Semenov
300669,Andrija  Balić,316111,Andrija Balic,235874,Andrija Balić
140085,Andrija  Živković,206843,Andrija Zivkovic,220746,Andrija Živković
105320,Andriy  Pyatov,39996,Andriy Pyatov,142902,Andriy Pyatov
105622,Andriy  Yarmolenko,69015,Andriy Yarmolenko,194794,Andriy Yarmolenko
8471,Andros  Townsend,61842,Andros Townsend,194932,Andros Townsend
25572,André  Ayew Pelé,45403,Andre Ayew,176571,André Ayew
15877,André  Hahn,42783,Andre Hahn,211862,André Hahn
65880,André  Ramalho Silva,175792,Andre Ramalho,210007,André Ramalho Silva
14789,André  Schürrle,58205,Andre Schurrle,193130,André Schürrle
211885,André Filipe  Tavares Gomes,221025,Andre Gomes,211575,André Filipe Tavares Gomes
70156,André Martín  Carrillo Díaz,135057,Andre Carrillo,203299,André Carrillo
135927,André Miguel  Valente Silva,198008,Andre Silva,228941,André Miguel Valente da Silva
366401,André-Frank  Zambo Anguissa,354361,Andre Zambo Anguissa,227236,André Franck Zambo Anguissa
25575,André-Pierre  Gignac,-1,,153244,André-Pierre Gignac
3353,Andrés  Iniesta Luján,7600,Andres Iniesta,41,Andrés Iniesta Luján
3486,Andrés Eduardo  Fernández Moreno,57522,Andres Fernandez,146296,Andrés Eduardo Fernández Moreno
91502,Andrés Mateus  Uribe Villa,214538,Mateus Uribe,-1,
247173,Andrés Tomás  Prieto Albert,238032,Andres Prieto,211132,Andrés Tomás Prieto Albert
7970,Andy  Carroll,48066,Andy Carroll,182836,Andy Carroll
25745,Andy  Delort,122797,Andy Delort,193983,Andy Delort
8498,Andy  King,56872,Andy King,186578,Andy King
497354,Andy  Pelmard,494236,Andy Pelmard,-1,
114764,Andy Jorman  Polo Andrade,189236,Andy Polo,223637,Andy Polo
8034,Anga Dedryck  Boyata,88262,Dedryck Boyata,197837,Dedryck Boyata
256992,Angelo  Fulgini,250013,Angelo Fulgini,226789,Angelo Fulgini
21100,Angelo  Obinze Ogbonna,48002,Angelo Ogbonna,183855,Angelo Ogbonna
20604,Angelo Esmael  da Costa Júnior,82693,Angelo Da Costa,189707,Angelo Esmael da Costa Júnior
28094,Anice  Badri,164925,Anice Badri,-1,
392395,Aniello  Viscovo,336760,Aniello Viscovo,240757,Aniello Viscovo
92334,Ansi  Agolli,-1,,-1,
69513,Ante  Budimir,45698,Andreas Wiegel,188335,Ante Budimir
69616,Ante  Rebić,187587,Ante Rebic,220018,Ante Rebić
284470,Ante  Ćorić,96630,Ante Coric,-1,
426714,Anthony  Caci,453016,Anthony Caci,236636,Anthony Caci
26285,Anthony  Gonçalves,111528,Anthony Goncalves,193147,Anthony Gonçalves
25950,Anthony  Knockaert,149237,Anthony Knockaert,203910,Anthony Knockaert
25382,Anthony  Lopes,60561,Anthony Lopes,199482,Anthony Lopes
340108,Anthony  Maisonnial,324829,Anthony Maisonnial,230038,Anthony Maisonnial
287521,Anthony  Mandrea,290559,Anthony Mandrea,220833,Anthony Mandrea
134513,Anthony  Martial,182877,Anthony Martial,211300,Anthony Martial
397039,Anthony  Racioppi,395671,Anthony Racioppi,-1,
302908,Anthony  Ribelin,334006,Anthony Ribelin,224882,Anthony Ribelin
15201,Anthony  Ujah,142281,Anthony Ujah,-1,
217867,Anthony  Walongwa,247300,Anthony Walongwa,-1,
5147,Anthony Rubén  Lozano Colón,131275,Choco Lozano,205495,Anthony Lozano
256776,Anto  Grgic,192637,Anto Grgic,229336,Anto Grgić
397029,Antoine  Bernede,395512,Antoine Bernede,234795,Antoine Bernede
3682,Antoine  Griezmann,125781,Antoine Griezmann,194765,Antoine Griezmann
288708,Anton  Miranchuk,255451,Anton Miranchuk,222368,Anton Miranchuk
83574,Anton Ciprian  Tătărușanu,55282,Ciprian Tatarusanu,201325,Ciprian Tătăruşanu
22699,Antonino  Ragusa,102470,Antonino Ragusa,198136,Antonino Ragusa
3296,Antonio  Adán Garrido,44062,Antonio Adan,178086,Antonio Adán Garrido
3270,Antonio  Barragán Fernández,32522,Antonio Barragan,169426,Antonio Barragán Fernández
300373,Antonio  Barreca,241889,Antonio Barreca,220493,Antonio Barreca
20556,Antonio  Candreva,25488,Antonio Candreva,173221,Antonio Candreva
22085,Antonio  Donnarumma,88685,Antonio Donnarumma,201179,Antonio Donnarumma
5383,Antonio  García Aranda,125931,Tono Garcia,204757,Antonio García Aranda
326535,Antonio  Latorre Grueso,320271,Toni Lato,232008,Antonio Latorre Grueso
291231,Antonio  Martínez López,302371,Toni Martinez,234826,Antonio Martínez López
20483,Antonio  Mirante,22141,Antonio Mirante,140293,Antonio Mirante
302548,Antonio  Montoro Rodríguez,251880,Antonio Montoro,-1,
367391,Antonio  Moya Vega,295065,Toni Moya,241588,Antonio Moya Vega
15214,Antonio  Rukavina,27924,Antonio Rukavina,181816,Antonio Rukavina
14748,Antonio  Rüdiger,86202,Antonio Rudiger,205452,Antonio Rüdiger
190168,Antonio  Santurro,130388,Antonio Santurro,200629,Antonio Santurro
286981,Antonio  Sivera Salvá,298197,Antonio Sivera,222464,Antonio Sivera Salvá
22093,Antonio Aldo  Caracciolo,149525,Antonio Caracciolo,199174,Antonio Caracciolo
3464,Antonio Manuel  Luna Rodríguez,126516,Antonio Luna,199157,Antonio Manuel Luna Rodriguez
3663,Antonio Miguel  Ramírez Martínez,-1,,190361,Antonio Ramírez Martínez
265172,Antonín  Barák,272261,Antonin Barak,236791,Antonín Barák
83876,António Alberto  Bastos Pimparel,-1,,182629,António Alberto Bastos Pimparel
286553,Anwar  El Ghazi,183720,Anwar El Ghazi,216433,Anwar El Ghazi
86414,Aníbal Cesis  Godoy,-1,,217047,Aníbal Godoy
